jd_id,skill,level,value,oatt,high,skill_name,level_name
53,31,9,58.755958557128906,0.1666666716337204,0,databases,proficient
53,34,8,64.09349060058594,0.1666666716337204,0,visualization,know
53,75,8,66.37019348144531,0.1666666716337204,0,sql,know
53,100,13,74.5577392578125,0.1666666716337204,0,quantitativeresearch,strong
538,5,4,67.77839660644531,0.5,0,dataanalysis,experience
538,63,2,60.06592559814453,0.5,0,interpersonal,excellent
729,5,4,67.13832092285156,0.20000000298023224,1,dataanalysis,experience
729,42,4,77.85490417480469,0.20000000298023224,1,excel,experience
729,86,13,74.66573333740234,0.20000000298023224,1,planning,strong
729,103,14,75.8086166381836,0.20000000298023224,1,reimbursementaccessenvironment,understand
729,126,4,89.79600524902344,0.20000000298023224,1,tableau,experience
3,4,13,90.22978973388672,0.20000000298023224,1,analytics,strong
3,24,2,77.49061584472656,0.20000000298023224,1,communication,excellent
3,63,2,82.73086547851562,0.20000000298023224,1,interpersonal,excellent
3,82,2,110.66117095947266,0.20000000298023224,1,organizational,excellent
